window,overbought,oversold,sharpe_ratio,annual_return,max_drawdown,calmar_ratio
6,70,30,0.23,0.02,0.7560739101594558,0.03
6,75,25,0.28,0.03,0.6362648674089431,0.05
6,80,20,0.25,0.03,0.676407210753907,0.04
6,85,15,0.26,0.03,0.8030974660695542,0.04
6,90,10,0.24,0.03,0.9152707512010889,0.03
6,95,5,0.21,0.03,1.21348887071087,0.02
7,10,90,0.19,0.01,0.24818227057125242,0.04
7,15,85,0.24,0.01,0.24994010213634477,0.04
7,20,80,0.4,0.02,0.20738170239106202,0.1
7,25,75,0.34,0.02,0.30400562042835244,0.07
7,30,70,0.28,0.02,0.33649776633067874,0.06
7,35,65,0.33,0.02,0.2586321420928933,0.08
7,40,60,0.27,0.02,0.49037669129267847,0.04
7,45,55,0.27,0.02,0.46657771618923916,0.04
7,50,50,0.28,0.02,0.4526796398163897,0.04
7,55,45,0.22,0.02,0.7240922277209414,0.03
7,60,40,0.16,0.02,0.955072049306585,0.02
7,65,35,0.2,0.02,0.8628995208271892,0.02
7,70,30,0.23,0.02,0.6613931203917596,0.03
7,75,25,0.23,0.03,0.7690669112340699,0.04
7,80,20,0.24,0.03,0.6977793966355179,0.04
7,85,15,0.23,0.03,0.8650090026386161,0.03
7,90,10,0.23,0.03,1.023612947081567,0.03
7,95,5,0.21,0.03,1.1445571346585117,0.03
8,10,90,0.19,0.0,0.17479544661568136,0.0
8,15,85,0.29,0.01,0.1478549751472361,0.07
8,20,80,0.33,0.01,0.164230990410955,0.06
8,25,75,0.32,0.02,0.19928700426457735,0.1
8,30,70,0.3,0.02,0.25408864653644514,0.08
8,35,65,0.29,0.02,0.408181504428492,0.05
8,40,60,0.29,0.02,0.3982110635080074,0.05
8,45,55,0.31,0.02,0.5216963006345757,0.04
8,50,50,0.3,0.03,0.5374927937893184,0.06
8,55,45,0.28,0.03,0.5350068423248733,0.06
8,60,40,0.22,0.02,0.7850684936951641,0.03
8,65,35,0.23,0.02,0.705182881892948,0.03
8,70,30,0.23,0.02,0.5832421934439329,0.03
8,75,25,0.24,0.03,0.7138966388170558,0.04
8,80,20,0.24,0.03,0.8413453566976501,0.04
8,85,15,0.23,0.03,0.9693444466940337,0.03
8,90,10,0.22,0.03,1.0504392842026444,0.03
8,95,5,0.2,0.02,1.2575102237694127,0.02
9,10,90,0.23,0.01,0.13526831498991942,0.07
9,15,85,0.19,0.01,0.13721268844920775,0.07
9,20,80,0.22,0.01,0.16857401869126687,0.06
9,25,75,0.29,0.01,0.22574517974695474,0.04
9,30,70,0.3,0.02,0.23815612609856807,0.08
9,35,65,0.34,0.02,0.30547966138061566,0.07
9,40,60,0.31,0.02,0.4306548273953028,0.05
9,45,55,0.37,0.03,0.3930418126690347,0.08
9,50,50,0.32,0.03,0.4989860645160129,0.06
9,55,45,0.3,0.03,0.6328503377276848,0.05
9,60,40,0.3,0.03,0.5276638255036623,0.06
9,65,35,0.26,0.03,0.5512601093878862,0.05
9,70,30,0.22,0.02,0.6621553154286166,0.03
9,75,25,0.23,0.03,0.8256891507649038,0.04
9,80,20,0.2,0.02,1.050518341306582,0.02
9,85,15,0.22,0.03,0.9350453167111965,0.03
9,90,10,0.22,0.03,1.0984977490114205,0.03
9,95,5,0.21,0.03,1.3469509068879923,0.02
10,10,90,0.16,0.0,0.10719841948983289,0.0
10,15,85,0.15,0.0,0.1445381979095648,0.0
10,20,80,0.26,0.01,0.2038725263655825,0.05
10,25,75,0.33,0.02,0.18340779203492485,0.11
10,30,70,0.29,0.02,0.2357506260247666,0.08
10,35,65,0.38,0.02,0.2029420812070617,0.1
10,40,60,0.31,0.02,0.31543450775499027,0.06
10,45,55,0.32,0.02,0.4248505361767616,0.05
10,50,50,0.23,0.02,0.6464087247979772,0.03
10,55,45,0.26,0.02,0.6843493673683367,0.03
10,60,40,0.26,0.03,0.8591160354077765,0.03
10,65,35,0.29,0.03,0.5880908669597007,0.05
10,70,30,0.22,0.02,0.9697408020688747,0.02
10,75,25,0.25,0.03,0.8212692016684389,0.04
10,80,20,0.24,0.03,0.8359986857395851,0.04
10,85,15,0.25,0.03,0.8745469509879067,0.03
10,90,10,0.21,0.03,1.0630274852917792,0.03
10,95,5,0.22,0.03,1.2790706786109096,0.02
11,10,90,0.15,0.0,0.10737435501825077,0.0
11,15,85,0.21,0.01,0.1627131575311367,0.06
11,20,80,0.24,0.01,0.14463463834593648,0.07
11,25,75,0.22,0.01,0.29892774645110765,0.03
11,30,70,0.3,0.02,0.2104707553166285,0.1
11,35,65,0.34,0.02,0.412019993270462,0.05
11,40,60,0.33,0.02,0.3713598340138613,0.05
11,45,55,0.33,0.03,0.39607245315112216,0.08
11,50,50,0.27,0.02,0.5949545267352582,0.03
11,55,45,0.24,0.02,0.6679981202809526,0.03
11,60,40,0.29,0.03,0.7027722073425768,0.04
11,65,35,0.26,0.03,0.7658149347709671,0.04
11,70,30,0.24,0.03,0.8506078737337739,0.04
11,75,25,0.3,0.03,0.8295492957954158,0.04
11,80,20,0.25,0.03,0.8119986340813612,0.04
11,85,15,0.23,0.03,1.029879597056779,0.03
11,90,10,0.22,0.03,1.0576239506599494,0.03
11,95,5,0.22,0.03,1.2855526866089622,0.02
12,10,90,0.09,0.0,0.07859670693545051,0.0
12,15,85,0.23,0.01,0.13210836789814528,0.08
12,20,80,0.26,0.01,0.15765933649425035,0.06
12,25,75,0.24,0.01,0.2326080900715598,0.04
12,30,70,0.37,0.02,0.1697147959751879,0.12
12,35,65,0.33,0.02,0.4166722004772163,0.05
12,40,60,0.36,0.02,0.40246148330726106,0.05
12,45,55,0.38,0.03,0.5436562211790967,0.06
12,50,50,0.38,0.03,0.6471240660861195,0.05
12,55,45,0.33,0.03,0.6296569064724402,0.05
12,60,40,0.3,0.03,0.6587618262007728,0.05
12,65,35,0.29,0.03,0.7748160578233851,0.04
12,70,30,0.26,0.03,0.7690523149272561,0.04
12,75,25,0.24,0.03,1.0046182919110245,0.03
12,80,20,0.25,0.03,0.8656626940158749,0.03
12,85,15,0.23,0.03,0.9955099577630153,0.03
12,90,10,0.22,0.03,1.1610541773082668,0.03
12,95,5,0.23,0.03,1.2379466396311951,0.02
13,10,90,-0.0,-0.0,0.14513244422262117,-0.0
13,15,85,0.17,0.0,0.08397337234306756,0.0
13,20,80,0.25,0.01,0.19997828080070934,0.05
13,25,75,0.31,0.01,0.1598539030697257,0.06
13,30,70,0.39,0.02,0.2264718105214747,0.09
13,35,65,0.39,0.02,0.2620333074423331,0.08
13,40,60,0.41,0.03,0.4455475521608072,0.07
13,45,55,0.36,0.03,0.47883442165925505,0.06
13,50,50,0.37,0.03,0.5099343438794643,0.06
13,55,45,0.33,0.03,0.654432055272115,0.05
13,60,40,0.35,0.03,0.6052888438627817,0.05
13,65,35,0.32,0.03,0.6853731130836866,0.04
13,70,30,0.27,0.03,0.6353112466078477,0.05
13,75,25,0.27,0.03,0.6869411592380708,0.04
13,80,20,0.26,0.03,0.8891604400341651,0.03
13,85,15,0.25,0.03,0.911987592747773,0.03
13,90,10,0.22,0.03,1.219961522132937,0.02
13,95,5,0.22,0.03,1.252519607824031,0.02
14,10,90,0.02,0.0,0.14109374040150757,0.0
14,15,85,0.13,0.0,0.08680287498538897,0.0
14,20,80,0.21,0.01,0.14559364765167615,0.07
14,25,75,0.33,0.01,0.1987948872941463,0.05
14,30,70,0.33,0.02,0.266672792185235,0.07
14,35,65,0.41,0.02,0.3005335334513255,0.07
14,40,60,0.4,0.03,0.4216610891687036,0.07
14,45,55,0.35,0.03,0.42561474090704343,0.07
14,50,50,0.36,0.03,0.5999893631060367,0.05
14,55,45,0.37,0.03,0.7761758664225722,0.04
14,60,40,0.3,0.03,0.9267532804017073,0.03
14,65,35,0.3,0.03,0.686086443438779,0.04
14,70,30,0.28,0.03,0.7113459112644889,0.04
14,75,25,0.29,0.03,0.7539891945786676,0.04
14,80,20,0.25,0.03,0.8179228911765364,0.04
14,85,15,0.21,0.03,1.1412590689205633,0.03
14,90,10,0.21,0.03,1.2651708617598905,0.02
14,95,5,0.22,0.03,1.2564735969022252,0.02
15,10,90,-0.05,-0.0,0.17310199424653683,-0.0
15,15,85,-0.02,-0.0,0.16725622337159818,-0.0
15,20,80,0.19,0.01,0.15452734670886648,0.06
15,25,75,0.22,0.01,0.1912551205333144,0.05
15,30,70,0.34,0.02,0.21430244270594279,0.09
15,35,65,0.44,0.03,0.29842947153323807,0.1
15,40,60,0.4,0.03,0.35155922675956974,0.09
15,45,55,0.43,0.03,0.43080315748637954,0.07
15,50,50,0.38,0.03,0.5599895866547604,0.05
15,55,45,0.38,0.03,0.6793273412052643,0.04
15,60,40,0.36,0.04,0.8428277153525943,0.05
15,65,35,0.33,0.03,0.7160127355487744,0.04
15,70,30,0.29,0.03,0.7259429088228777,0.04
15,75,25,0.28,0.03,0.744584330020059,0.04
15,80,20,0.22,0.03,0.8826452980403925,0.03
15,85,15,0.21,0.03,1.1109222799888907,0.03
15,90,10,0.21,0.03,1.2679728858956087,0.02
15,95,5,0.22,0.03,1.2659262745953113,0.02
16,10,90,-0.01,-0.0,0.15995868286095583,-0.0
16,15,85,0.06,0.0,0.1271112088121359,0.0
16,20,80,0.17,0.0,0.15417508828242232,0.0
16,25,75,0.22,0.01,0.21754016372821883,0.05
16,30,70,0.34,0.02,0.2095664009677225,0.1
16,35,65,0.39,0.02,0.3546373969809198,0.06
16,40,60,0.43,0.03,0.2924354079871174,0.1
16,45,55,0.43,0.03,0.32285192855245115,0.09
16,50,50,0.39,0.03,0.5314780676474293,0.06
16,55,45,0.37,0.03,0.5137975589554604,0.06
16,60,40,0.37,0.04,0.671673128496411,0.06
16,65,35,0.33,0.03,0.6658620594036395,0.05
16,70,30,0.28,0.03,0.7434012290537808,0.04
16,75,25,0.26,0.03,0.7218137614838951,0.04
16,80,20,0.23,0.03,0.9330765159622367,0.03
16,85,15,0.22,0.03,1.1087984888353617,0.03
16,90,10,0.22,0.03,1.295369323020772,0.02
16,95,5,0.22,0.03,1.2692966165262285,0.02
17,10,90,0.06,0.0,0.0879251471246929,0.0
17,15,85,0.08,0.0,0.09237164526283792,0.0
17,20,80,0.12,0.0,0.1423883059524339,0.0
17,25,75,0.17,0.01,0.2681350999979477,0.04
17,30,70,0.28,0.01,0.1837505527305625,0.05
17,35,65,0.43,0.02,0.21202467091243515,0.09
17,40,60,0.43,0.03,0.259363650449038,0.12
17,45,55,0.38,0.03,0.34389563802099676,0.09
17,50,50,0.35,0.03,0.4500084974084311,0.07
17,55,45,0.3,0.03,0.8016235862807581,0.04
17,60,40,0.36,0.04,0.685684767373949,0.06
17,65,35,0.31,0.03,0.7380135657164364,0.04
17,70,30,0.25,0.03,0.7699173071575043,0.04
17,75,25,0.22,0.03,0.8850600758963783,0.03
17,80,20,0.23,0.03,0.8781482489060646,0.03
