,close,signal,pnl,cumulative_return
163,18517.72,0,0.00,1.00
164,19186.93,0,0.00,1.00
165,18970.79,0,0.00,1.00
166,18972.29,0,0.00,1.00
167,18480.10,0,0.00,1.00
168,18380.10,0,0.00,1.00
169,18311.09,0,0.00,1.00
170,18504.96,0,0.00,1.00
171,18126.08,0,0.00,1.00
172,18256.55,0,0.00,1.00
173,18306.93,0,0.00,1.00
174,18671.79,0,0.00,1.00
175,19006.11,0,0.00,1.00
176,19907.41,0,0.00,1.00
177,19692.50,0,0.00,1.00
178,19344.27,0,0.00,1.00
179,19185.87,0,0.00,1.00
180,19472.24,0,0.00,1.00
181,19824.97,0,0.00,1.00
182,19520.84,0,0.00,1.00
183,19445.99,0,0.00,1.00
184,20254.52,0,0.00,1.00
185,20124.08,0,0.00,1.00
186,20639.48,0,0.00,1.00
187,20395.64,0,0.00,1.00
188,20695.22,0,0.00,1.00
189,20574.00,0,0.00,1.00
190,20060.39,0,0.00,1.00
191,19795.52,0,0.00,1.00
192,19946.18,0,0.00,1.00
193,19980.49,0,0.00,1.00
194,19857.89,0,0.00,1.00
195,20107.81,0,0.00,1.00
196,20140.04,0,0.00,1.00
197,20086.63,0,0.00,1.00
198,20568.22,0,0.00,1.00
199,20652.36,0,0.00,1.00
200,20884.11,0,0.00,1.00
201,20801.79,0,0.00,1.00
202,20555.68,0,0.00,1.00
203,20525.56,0,0.00,1.00
204,20845.95,0,0.00,1.00
205,20824.74,0,0.00,1.00
206,20280.93,0,0.00,1.00
207,19977.60,0,0.00,1.00
208,20046.43,0,0.00,1.00
209,20072.81,0,0.00,1.00
210,20455.54,0,0.00,1.00
211,20418.45,0,0.00,1.00
212,20489.62,0,0.00,1.00
213,20573.89,0,0.00,1.00
214,20672.30,0,0.00,1.00
215,20670.88,0,0.00,1.00
216,20433.49,0,0.00,1.00
217,20614.04,0,0.00,1.00
218,20656.17,0,0.00,1.00
219,20890.77,0,0.00,1.00
220,21192.08,0,0.00,1.00
221,21120.28,0,0.00,1.00
222,21356.32,0,0.00,1.00
223,21200.00,0,0.00,1.00
224,21299.27,0,0.00,1.00
225,20962.42,0,0.00,1.00
226,21106.20,0,0.00,1.00
227,21619.31,0,0.00,1.00
228,21590.79,0,0.00,1.00
229,21392.19,0,0.00,1.00
230,21401.52,0,0.00,1.00
231,21242.94,0,0.00,1.00
232,21100.01,0,0.00,1.00
233,20888.64,0,0.00,1.00
234,20859.86,0,0.00,1.00
235,20972.91,0,0.00,1.00
236,20897.00,0,0.00,1.00
237,20723.52,0,0.00,1.00
238,20587.01,0,0.00,1.00
239,20411.24,0,0.00,1.00
240,20466.47,0,0.00,1.00
241,20317.88,0,0.00,1.00
242,20435.08,0,0.00,1.00
243,20368.76,0,0.00,1.00
244,20112.97,0,0.00,1.00
245,20099.62,0,0.00,1.00
246,20235.07,0,0.00,1.00
247,20428.56,0,0.00,1.00
248,20419.23,0,0.00,1.00
249,20506.30,0,0.00,1.00
250,20365.50,0,0.00,1.00
251,20723.95,0,0.00,1.00
252,20693.98,0,0.00,1.00
253,20080.10,0,0.00,1.00
254,20322.73,0,0.00,1.00
255,20267.42,0,0.00,1.00
256,20218.15,0,0.00,1.00
257,20117.34,0,0.00,1.00
258,19879.97,0,0.00,1.00
259,20005.30,0,0.00,1.00
260,20103.32,0,0.00,1.00
261,19987.99,0,0.00,1.00
262,20419.14,0,0.00,1.00
263,20375.49,0,0.00,1.00
264,20363.00,0,0.00,1.00
265,20213.79,0,0.00,1.00
266,20357.17,0,0.00,1.00
267,20349.16,0,0.00,1.00
268,20548.51,0,0.00,1.00
269,20461.83,0,0.00,1.00
270,20576.66,0,0.00,1.00
271,20746.40,0,0.00,1.00
272,20699.54,0,0.00,1.00
273,20638.79,0,0.00,1.00
274,20563.48,0,0.00,1.00
275,20459.94,0,0.00,1.00
276,20609.71,0,0.00,1.00
277,20351.91,0,0.00,1.00
278,20284.28,0,0.00,1.00
279,20319.32,0,0.00,1.00
280,20431.92,0,0.00,1.00
281,20910.06,0,0.00,1.00
282,20815.25,0,0.00,1.00
283,20687.76,0,0.00,1.00
284,20991.75,0,0.00,1.00
285,21110.13,0,0.00,1.00
286,21007.18,0,0.00,1.00
287,21047.60,0,0.00,1.00
288,21173.46,0,0.00,1.00
289,21073.73,0,0.00,1.00
290,21050.15,0,0.00,1.00
291,20910.89,0,0.00,1.00
292,20842.16,0,0.00,1.00
293,20913.72,0,0.00,1.00
294,21053.33,0,0.00,1.00
295,20824.99,0,0.00,1.00
296,20995.36,0,0.00,1.00
297,21169.53,0,0.00,1.00
298,21215.25,0,0.00,1.00
299,21199.99,0,0.00,1.00
300,21120.78,0,0.00,1.00
301,20884.17,0,0.00,1.00
302,21044.61,0,0.00,1.00
303,20972.40,0,0.00,1.00
