datetime,open,high,low,close,volume
2022-06-12 16:00:00,27645.88000000,27726.15000000,27532.80000000,27568.21000000,2350.33425000
2022-06-12 17:00:00,27568.21000000,27611.13000000,27455.17000000,27469.84000000,1811.19261000
2022-06-12 18:00:00,27469.97000000,27580.00000000,27360.16000000,27444.46000000,2436.45547000
2022-06-12 19:00:00,27444.46000000,27526.59000000,27342.82000000,27457.39000000,2094.76174000
2022-06-12 20:00:00,27457.39000000,27583.10000000,27424.74000000,27436.71000000,1331.19369000
2022-06-12 21:00:00,27436.72000000,27475.06000000,27234.55000000,27313.36000000,2687.45763000
2022-06-12 22:00:00,27313.35000000,27965.76000000,26890.00000000,27815.00000000,10301.73719000
2022-06-12 23:00:00,27814.99000000,28347.89000000,27776.99000000,28094.42000000,8311.67826000
2022-06-13 00:00:00,28094.42000000,28177.64000000,27812.00000000,27932.60000000,3091.91952000
2022-06-13 01:00:00,27932.60000000,28238.58000000,27921.78000000,28124.01000000,2818.28778000
2022-06-13 02:00:00,28124.01000000,28141.34000000,27876.95000000,27908.06000000,2084.84016000
2022-06-13 03:00:00,27908.07000000,27939.18000000,27423.73000000,27424.71000000,3644.44153000
2022-06-13 04:00:00,27424.71000000,27557.05000000,27359.19000000,27377.00000000,2175.22878000
2022-06-13 05:00:00,27376.99000000,27532.07000000,27333.33000000,27369.34000000,1300.18637000
2022-06-13 06:00:00,27369.35000000,27454.38000000,26925.27000000,26995.44000000,6595.47181000
2022-06-13 07:00:00,26995.44000000,27190.00000000,26560.00000000,26574.53000000,6291.89209900
2022-06-13 08:00:00,26574.53000000,26895.84000000,26285.56000000,26307.16000000,11892.25570900
2022-06-13 09:00:00,26307.16000000,26470.53000000,25602.17000000,25771.59000000,14019.02340600
2022-06-13 10:00:00,25771.60000000,25862.98000000,25334.66000000,25341.40000000,10863.86056100
2022-06-13 11:00:00,25341.39000000,25672.59000000,24900.00000000,25520.05000000,16677.08880700
2022-06-13 12:00:00,25520.05000000,26257.31000000,25371.82000000,25389.99000000,10154.68654000
2022-06-13 13:00:00,25388.71000000,25849.99000000,25190.27000000,25234.44000000,6932.25581000
2022-06-13 14:00:00,25234.44000000,25607.00000000,25057.33000000,25358.14000000,8367.78234000
2022-06-13 15:00:00,25358.15000000,25472.58000000,24555.00000000,24811.59000000,12873.89100300
2022-06-13 16:00:00,24811.59000000,24941.17000000,24152.88000000,24182.60000000,15274.24818400
2022-06-13 17:00:00,24182.60000000,24651.17000000,23788.00000000,24052.83000000,18839.12540800
2022-06-13 18:00:00,24052.82000000,24324.19000000,23841.57000000,23990.63000000,10421.93522000
2022-06-13 19:00:00,23990.63000000,24104.70000000,23500.00000000,23729.43000000,10305.80134500
2022-06-13 20:00:00,23729.43000000,24376.09000000,23633.66000000,23683.31000000,9142.38054000
2022-06-13 21:00:00,23683.30000000,23979.67000000,23338.73000000,23651.94000000,15801.87677500
2022-06-13 22:00:00,23651.94000000,23740.00000000,22600.00000000,22804.62000000,19134.71625000
2022-06-13 23:00:00,22804.62000000,23507.48000000,22618.63000000,23271.54000000,13322.86186000
2022-06-14 00:00:00,23271.53000000,24204.55000000,23123.97000000,23733.48000000,11860.59394000
2022-06-14 01:00:00,23732.85000000,23761.40000000,23106.20000000,23538.33000000,5778.72850000
2022-06-14 02:00:00,23538.32000000,23810.87000000,23363.61000000,23375.01000000,3950.63054000
2022-06-14 03:00:00,23375.02000000,23410.83000000,23101.01000000,23218.22000000,4403.48687000
2022-06-14 04:00:00,23215.97000000,23787.30000000,23191.48000000,23245.83000000,3549.75188000
2022-06-14 05:00:00,23245.82000000,23390.54000000,22862.09000000,23061.45000000,3068.98870000
2022-06-14 06:00:00,23061.44000000,23131.51000000,22563.00000000,22587.90000000,4302.86791900
2022-06-14 07:00:00,22587.90000000,22650.00000000,21925.77000000,22487.41000000,13672.19685900
2022-06-14 08:00:00,22485.27000000,22796.71000000,21756.73000000,21759.51000000,11644.29347300
2022-06-14 09:00:00,21759.51000000,21887.84000000,20855.00000000,20855.00000000,22595.64469700
2022-06-14 10:00:00,20855.00000000,21790.00000000,20846.00000000,21548.74000000,18705.61297000
2022-06-14 11:00:00,21548.74000000,22300.00000000,21327.36000000,22127.91000000,11194.43061000
2022-06-14 12:00:00,22127.92000000,22466.88000000,21763.71000000,21977.83000000,10250.83244000
2022-06-14 13:00:00,21977.83000000,23362.88000000,21918.66000000,22747.24000000,15621.63646000
2022-06-14 14:00:00,22747.25000000,22909.50000000,22323.78000000,22633.82000000,8974.26356000
2022-06-14 15:00:00,22633.81000000,23041.27000000,22171.00000000,22877.52000000,9045.80315000
2022-06-14 16:00:00,22877.52000000,22979.96000000,22572.35000000,22609.91000000,5775.72228000
2022-06-14 17:00:00,22609.90000000,22700.00000000,22289.36000000,22298.92000000,4764.54332000
2022-06-14 18:00:00,22298.92000000,22648.13000000,22250.43000000,22381.28000000,4582.83630000
2022-06-14 19:00:00,22381.27000000,22422.10000000,21725.22000000,21994.56000000,7370.92217000
2022-06-14 20:00:00,21994.56000000,22455.91000000,21811.01000000,22150.85000000,6788.73610000
2022-06-14 21:00:00,22150.85000000,22591.78000000,21967.00000000,22411.33000000,8229.72466000
2022-06-14 22:00:00,22416.91000000,22555.00000000,22019.06000000,22513.72000000,7373.15864000
2022-06-14 23:00:00,22513.71000000,22800.00000000,22260.94000000,22680.38000000,6773.63786000
2022-06-15 00:00:00,22680.38000000,22777.07000000,22421.16000000,22484.69000000,3386.62560000
2022-06-15 01:00:00,22484.69000000,22740.00000000,22325.00000000,22361.56000000,3019.36466000
2022-06-15 02:00:00,22361.94000000,22590.72000000,22219.23000000,22297.16000000,2711.97933000
2022-06-15 03:00:00,22297.16000000,22331.77000000,22126.40000000,22196.28000000,2347.20373000
2022-06-15 04:00:00,22190.93000000,22244.44000000,21839.48000000,21989.87000000,3107.48157000
2022-06-15 05:00:00,21989.88000000,22099.57000000,21358.00000000,21484.73000000,4074.72978000
2022-06-15 06:00:00,21484.74000000,21659.00000000,21475.87000000,21598.93000000,3069.91582000
2022-06-15 07:00:00,21598.92000000,22344.00000000,21579.07000000,22136.41000000,5792.54753000
2022-06-15 08:00:00,22136.42000000,22153.20000000,21741.59000000,21808.32000000,3921.70541000
2022-06-15 09:00:00,21808.33000000,22297.37000000,21770.68000000,22163.99000000,4223.39193000
2022-06-15 10:00:00,22164.00000000,22174.98000000,21851.39000000,21985.86000000,2756.33431000
2022-06-15 11:00:00,21985.85000000,22044.44000000,21406.68000000,21455.80000000,4638.98575000
2022-06-15 12:00:00,21455.80000000,21490.67000000,20923.51000000,21148.79000000,11547.41245000
2022-06-15 13:00:00,21148.80000000,21350.00000000,20750.00000000,21226.31000000,8756.79893300
