timestamp,price,signal,shares,cash,equity,position,trade_type,trade_pnl
139,20554.16,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
140,20451.19,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
141,20468.81,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
142,20569.14,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
143,20390.01,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
144,20475.28,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
145,20459.65,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
146,20493.37,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
147,20424.05,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
148,19439.26,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
149,19258.58,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
150,19008.88,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
151,19173.92,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
152,19395.33,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
153,19243.98,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
154,19155.45,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
155,19200.11,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
156,19077.58,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
157,18953.76,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
158,18875.25,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
159,18621.13,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
160,18215.78,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
161,18067.6,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
162,17809.0,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
163,18517.72,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
164,19186.93,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
165,18970.79,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
166,18972.29,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
167,18480.1,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
168,18380.1,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
169,18311.09,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
170,18504.96,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
171,18126.08,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
172,18256.55,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
